time,wind_speed_10m,temperature_2m,cloud_cover,relative_humidity_2m,surface_pressure,apparent_temperature,precipitation,vapour_pressure_deficit
2021-01-03 04:00:00,5.8048253,18.8,100.0,87.88925,1015.09265,20.324526,0.0,0.2628826
2021-01-03 05:00:00,5.0528407,18.95,100.0,88.46108,1015.393,20.689898,0.0,0.25281906
2021-01-03 06:00:00,4.5536795,19.15,100.0,89.88651,1016.0931,21.156744,0.1,0.22435725
2021-01-03 07:00:00,4.6102495,19.6,100.0,87.40523,1016.99365,21.598213,0.2,0.28732264
2021-01-03 08:00:00,7.0911775,20.25,100.0,88.29103,1017.79553,22.24332,0.4,0.2780559
2021-01-03 09:00:00,13.18308,21.25,100.0,82.500374,1018.2994,22.308643,0.7,0.44191742
2021-01-03 10:00:00,16.179987,21.55,100.0,81.25278,1018.2011,22.194096,0.5,0.48218727
2021-01-03 11:00:00,17.373497,21.85,100.0,79.77654,1017.8029,22.319801,0.3,0.5297668
2021-01-03 12:00:00,20.380579,21.85,100.0,80.02725,1017.1039,21.904064,0.1,0.5231972
2021-01-03 13:00:00,23.090569,21.7,100.0,81.78294,1016.30414,21.450792,0.0,0.47285318
2021-01-03 14:00:00,23.675304,21.8,100.0,80.020485,1015.70526,21.350826,0.0,0.5217836
2021-01-03 15:00:00,23.132626,21.75,100.0,80.01367,1015.5051,21.357273,0.0,0.5203743
2021-01-03 16:00:00,22.657131,21.5,100.0,81.50178,1015.8038,21.19955,0.0,0.47433233
2021-01-03 17:00:00,19.694992,21.25,100.0,81.47004,1016.0023,21.26868,0.0,0.46794415
2021-01-03 18:00:00,17.309973,21.2,100.0,81.72026,1016.5017,21.566534,0.1,0.46021318
2021-01-03 19:00:00,13.324863,20.95,100.0,80.919945,1017.2993,21.720222,0.2,0.47306967
2021-01-03 20:00:00,14.417988,21.0,100.0,81.438194,1017.6992,21.676933,0.2,0.4616294
2021-01-03 21:00:00,14.044615,21.0,100.0,83.251595,1017.7991,21.887913,0.5,0.41651893
